block_group,reduced_match_qualify
080050068641,Not Qualifying
080050068642,Qualifying
080050071011,Not Qualifying
080050071012,Not Qualifying
080050071013,Not Qualifying
080050071014,Not Qualifying
080050071031,Not Qualifying
080050071061,Not Qualifying
080050071062,Not Qualifying
080050071081,Qualifying
080050071082,Qualifying
080050071091,Qualifying
080050071101,Qualifying
080050071102,Qualifying
080050071103,Qualifying
080050071111,Qualifying
080050071121,Not Qualifying
080050071122,Qualifying
080050071131,Not Qualifying
080050071132,Not Qualifying
080050072012,Qualifying
080050072013,Qualifying
080050073011,Qualifying
080050073021,Qualifying
080050074001,Qualifying
080050074002,Qualifying
080050074003,Qualifying
080050075001,Qualifying
080050075002,Qualifying
080050077023,Qualifying
080050077033,Qualifying
080050800001,Qualifying
080050804002,Qualifying
080050809001,Qualifying
080050810011,Qualifying
080050810021,Qualifying
080050810022,Qualifying
080050810023,Qualifying
080050811011,Qualifying
080050811012,Qualifying
080050814002,Qualifying
080050814004,Qualifying
080050815001,Not Qualifying
080050815002,Not Qualifying
080050815003,Not Qualifying
080050816001,Qualifying
080050816002,Qualifying
080050816004,Not Qualifying
080050818001,Qualifying
080050818002,Qualifying
080050818003,Qualifying
080050819001,Qualifying
080050819002,Qualifying
080050819003,Qualifying
080050819004,Qualifying
080050820001,Qualifying
080050820002,Qualifying
080050820003,Qualifying
080050821002,Qualifying
080050821003,Qualifying
080050822001,Not Qualifying
080050822003,Qualifying
080050822004,Qualifying
080050823001,Qualifying
080050823002,Qualifying
080050823003,Qualifying
080050824001,Qualifying
080050824002,Qualifying
080050824003,Qualifying
080050826002,Qualifying
080050826003,Qualifying
080050826004,Qualifying
080050828004,Qualifying
080050829001,Qualifying
080050829002,Qualifying
080050829003,Qualifying
080050830001,Qualifying
080050830002,Qualifying
080050831002,Qualifying
080050831003,Qualifying
080050832011,Qualifying
080050832012,Qualifying
080050832013,Qualifying
080050832021,Not Qualifying
080050832022,Not Qualifying
080050833002,Not Qualifying
080050834001,Not Qualifying
080050834002,Qualifying
080050834003,Qualifying
080050836001,Qualifying
080050836002,Not Qualifying
080050837001,Not Qualifying
080050837002,Qualifying
080050839001,Not Qualifying
080050841001,Not Qualifying
080050841002,Qualifying
080050841003,Qualifying
080050842001,Qualifying
080050842002,Qualifying
080050842003,Qualifying
080050843002,Not Qualifying
080050844001,Qualifying
080050844002,Not Qualifying
080050845002,Not Qualifying
080050848001,Not Qualifying
080050848002,Not Qualifying
080050848003,Not Qualifying
080050849001,Not Qualifying
080050849002,Not Qualifying
080050850001,Not Qualifying
080050851001,Not Qualifying
080050851002,Not Qualifying
080050851003,Not Qualifying
080050852001,Not Qualifying
080050852002,Not Qualifying
080050853001,Not Qualifying
080050854003,Not Qualifying
080050855002,Not Qualifying
080050857001,Qualifying
080050857002,Not Qualifying
080050857003,Qualifying
080050858001,Not Qualifying
080050859001,Qualifying
080050859002,Qualifying
080050860021,Not Qualifying
080050861003,Not Qualifying
080050863001,Not Qualifying
080050863002,Not Qualifying
080050863003,Not Qualifying
080050863004,Not Qualifying
080050864001,Not Qualifying
080050864002,Not Qualifying
080050865001,Qualifying
080050865002,Not Qualifying
080050865003,Not Qualifying
080050866001,Not Qualifying
080050866002,Not Qualifying
080050866003,Not Qualifying
080050867001,Not Qualifying
080050867002,Not Qualifying
080050873013,Qualifying
080059800001,Qualifying
080079404001,Qualifying
080079404002,NA
080079742011,Not Qualifying
080079742012,Not Qualifying
080079742021,Not Qualifying
080079742022,Not Qualifying
080079742023,Not Qualifying
080079742024,Not Qualifying
080079743001,NA
080079743002,Qualifying
080079743003,Qualifying
080079744001,Qualifying
080079744002,Qualifying
080079744003,Qualifying
080099646001,Qualifying
080099646002,Qualifying
080099647001,Qualifying
080099647002,Qualifying
080119667011,Qualifying
080119667021,Not Qualifying
080119667022,Qualifying
080119667023,Qualifying
080119667024,Qualifying
080130121011,Not Qualifying
080130121012,Not Qualifying
080130121013,Not Qualifying
080130121014,Not Qualifying
080130121032,Not Qualifying
080130121033,Not Qualifying
080130121041,Qualifying
080130121042,Not Qualifying
080130121051,Not Qualifying
080130121052,Qualifying
080130121053,Not Qualifying
080130122011,Not Qualifying
080130122012,Qualifying
080130122013,Not Qualifying
080130122071,Qualifying
080130122072,Qualifying
080130122082,Not Qualifying
080130124013,Not Qualifying
080130125011,Not Qualifying
080130125012,Not Qualifying
080130125051,Not Qualifying
080130125052,Not Qualifying
080130125053,Not Qualifying
080130125071,Qualifying
080130125072,Qualifying
080130125073,Not Qualifying
080130125081,Not Qualifying
080130125082,Not Qualifying
080130125091,Not Qualifying
080130125101,Not Qualifying
080130125102,Not Qualifying
080130125103,Not Qualifying
080130125104,Not Qualifying
080130125111,Qualifying
080130125112,Not Qualifying
080130126031,Not Qualifying
080130126032,Not Qualifying
080130126033,Not Qualifying
080130126051,Qualifying
080130127011,Not Qualifying
080130127012,Not Qualifying
080130127013,Not Qualifying
080130127014,Qualifying
080130127051,Qualifying
080130127052,Not Qualifying
080130127053,Not Qualifying
080130127054,Not Qualifying
080130127055,Not Qualifying
080130127071,Qualifying
080130127072,Not Qualifying
080130127081,Not Qualifying
080130127082,Not Qualifying
080130127083,Not Qualifying
080130127084,Not Qualifying
080130127085,Not Qualifying
080130127091,Not Qualifying
080130127101,Not Qualifying
080130127102,Not Qualifying
080130127103,Not Qualifying
080130128011,Not Qualifying
080130128012,Not Qualifying
080130128013,Not Qualifying
080130128021,Not Qualifying
080130128022,Not Qualifying
080130128023,Not Qualifying
080130128024,Not Qualifying
080130129031,Not Qualifying
080130129032,Not Qualifying
080130129042,Not Qualifying
080130129043,Not Qualifying
080130129044,Not Qualifying
080130129071,Not Qualifying
080130129072,Not Qualifying
080130130031,Not Qualifying
080130130032,Not Qualifying
080130130033,Not Qualifying
080130130034,Not Qualifying
080130130035,Not Qualifying
080130130041,Not Qualifying
080130130042,Not Qualifying
080130130051,Not Qualifying
080130130052,Not Qualifying
080130130061,Not Qualifying
080130130062,Not Qualifying
080130130063,Not Qualifying
080130132011,Not Qualifying
080130132021,Not Qualifying
080130132022,Not Qualifying
080130132051,Not Qualifying
080130132052,Not Qualifying
080130132053,Not Qualifying
080130132054,Not Qualifying
080130132071,Not Qualifying
080130132072,Qualifying
080130132073,Not Qualifying
080130132082,Not Qualifying
080130132083,Not Qualifying
080130132084,Not Qualifying
080130132101,Qualifying
080130132102,Qualifying
080130132103,Not Qualifying
080130132111,Not Qualifying
080130132112,Not Qualifying
080130132114,Not Qualifying
080130132115,Not Qualifying
080130132116,Not Qualifying
080130132121,Not Qualifying
080130132122,Not Qualifying
080130132123,Qualifying
