block_group,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,no_hs_degree_percent_4_rank,over_65_percent_5_rank,under_18_percent_6_rank,disabled_adult_percent_7_rank,single_householder_percent_8_rank,percent_minority_9_rank,eng_proficiency_rank,over_10_rank,mobile_units_rank,over_1_person_room_percent_13_rank,no_vehicle_percent_14_rank,group_quarters_percent_15_rank,Gini_income_rank,Gini_education_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,reduced_match_qualify
080010085452,0.16,0.39,0.69,0.67,0.66,0.07,0.63,0.31,0,0,0,0,0,0,0.83,0.63,0.26,0.28,0.016,FALSE,Not Qualifying
080010085453,0,0.76,0.34,0.36,0.84,0.06,0,0.48,0,0,0,0,0,0,0.82,0.51,0.18,0.14,0,FALSE,Not Qualifying
080010085454,0.29,0.4,0.7,0.11,0.98,0.17,0.75,0.61,0,0.64,0,0,0,0,0.8,0.18,0.12,0.2,0.005,FALSE,Not Qualifying
080010085455,0.7,0.63,0.52,0.86,0.17,0.47,0,0.49,0,0,0,0,0.82,0.86,0.47,0.21,0.46,0.4,0.11,TRUE,Qualifying
080010085491,0.51,0.72,0.75,0.13,0.76,0.21,0.6,0.7,0.65,0,0,0.77,0.71,0,0.48,0.09,0.32,0.51,0.005,FALSE,Not Qualifying
080010085503,0.28,0.48,0.85,0.38,0.39,0.42,0.74,0.89,0.83,0,0,0,0.81,0,0.58,0.04,0.26,0.51,0.03,FALSE,Not Qualifying
080010085505,0.11,0.28,0.85,0.34,0.68,0.44,0.38,0.65,0.86,0,0,0,0,0,0.78,0.06,0.2,0.26,0.002,FALSE,Not Qualifying
080010085511,0.36,0.47,0.76,0.29,0.8,0.33,0.28,0.63,0.73,0,0.68,0.64,0.69,0,0.79,0.14,0.07,0.54,0,FALSE,Not Qualifying
080010085521,0.61,0.86,0.9,0.03,0.89,0.18,0.71,0.95,0,0,0,0.72,0,0,0.54,0.15,0.49,0.7,0.504,TRUE,Qualifying
080010085522,0.63,0.73,0.74,0.28,0.57,0.33,0.87,0.64,0.67,0.87,0,0,0.57,0,0.37,0.16,0.47,0.61,0.117,TRUE,Qualifying
080010085523,0,0.57,0.56,0.77,0.32,0.81,0.69,0.4,0,0,0,0,0,0,0.6,0.74,0.21,0.23,0.063,FALSE,Not Qualifying
080010085531,0.37,0.65,0.51,0.69,0.45,0.36,0,0.1,0,0,0,0,0.78,0,0.7,0.5,0.13,0.15,0.001,FALSE,Not Qualifying
080010085532,0.68,0.45,0.44,0.35,0.61,0.42,0.74,0.69,0.84,0,0.7,0,0.56,0,0.71,0.22,0.3,0.73,0.137,FALSE,Not Qualifying
080010085541,0.47,0.98,0.63,0.93,0.2,0.89,0,0.73,0,0.64,0.77,0,0.85,0,0.21,0.52,0.6,0.75,0.452,FALSE,Qualifying
080010085551,0.5,0,0.85,0.31,0.75,0.84,0,0.83,0.89,0,0,0.9,0,0,0.85,0.21,0.11,0.53,0.114,TRUE,Qualifying
080010085552,0.92,0.96,0.8,0.14,0.95,0.25,0.97,0.75,0.88,0.9,0,0.99,0.71,0,0.56,0.28,0.72,0.93,0.876,TRUE,Qualifying
080010085553,0.69,0,0.8,0.56,0.64,0.35,0.94,0.9,0,0.97,0,0,0.7,0,0.92,0.43,0.79,0.87,0.811,TRUE,Qualifying
080010085554,0.84,0.39,0.4,0.03,0.69,0.24,0.98,0.86,0,0.98,0,0.94,0,0,0.73,0.45,0.77,0.79,0.673,TRUE,Qualifying
080010085561,0.2,0.52,0.52,0.2,0.56,0.09,0.28,0.76,0.89,0.6,0,0,0,0,0.78,0.33,0.45,0.52,0.031,TRUE,Qualifying
080010085562,0.43,0.22,0.73,0.11,0.81,0.33,0.65,0.73,0.58,0,0,0,0,0,0.67,0.15,0.4,0.44,0.01,TRUE,Qualifying
080010085571,0.26,0.76,0.46,0.26,0.45,0.71,0.34,0.73,0,0,0,0,0,0,0.75,0.36,0.17,0.34,0.037,TRUE,Qualifying
080010085581,0.3,0.23,0.44,0.04,0.9,0.3,0.62,0.93,0.67,0,0,0,0,0,0.93,0.38,0.16,0.52,0,TRUE,Qualifying
080010085591,0.44,0.44,0.3,0.33,0.84,0.86,0.4,0.75,0.62,0,0,0,0.59,0,0.76,0.55,0.41,0.71,0.18,TRUE,Qualifying
080010085592,0.45,0.74,0.59,0.13,0.92,0.08,0.66,0.92,0.84,0.59,0,0,0.51,0,0.69,0.31,0.51,0.79,0.329,TRUE,Qualifying
080010085593,0.22,0.71,0.88,0.27,0.95,0.26,0.95,0.85,0.94,0.65,0,0.66,0,0,0.51,0.14,0.36,0.6,0.194,TRUE,Qualifying
080010085601,0.16,0.71,0.61,0.37,0.85,0.14,0.26,0.37,0.56,0,0.67,0,0.5,0,0.8,0.3,0.09,0.37,0,FALSE,Not Qualifying
080010085611,0.29,0.7,0.42,0.98,0.06,0.79,0,0.23,0.67,0,0,0,0.58,0,0.33,0.27,0.31,0.12,0.001,FALSE,Not Qualifying
080010085612,0,0,0.38,0.98,0.06,0.47,0,0.32,0,0,0,0,0,0,0.93,0.34,0.13,0.01,0.004,FALSE,Not Qualifying
080010085613,0,0.2,0.5,0.55,0.31,0.36,0.72,0.71,0.73,0,0.67,0,0.92,0,0.71,0.47,0.11,0.43,0,FALSE,Not Qualifying
080010085621,0.26,0.36,0.76,0.08,0.86,0.56,0.31,0.72,0,0,0,0.78,0,0,0.9,0.07,0.23,0.27,0.002,FALSE,Not Qualifying
080010085622,0.8,0.85,0.68,0.3,0.85,0.65,0.65,0.77,0.69,0,0,0,0.56,0,0.63,0.33,0.35,0.83,0.488,FALSE,Qualifying
080010085631,0,0.28,0.82,0.08,0.93,0.1,0.62,0.78,0.8,0,0,0.78,0,0,0.67,0.08,0.41,0.3,0.001,FALSE,Not Qualifying
080010085632,0.46,0.46,0.67,0.19,0.89,0.09,0.68,0.76,0.55,0,0,0,0.52,0,0.7,0.18,0.26,0.52,0.07,FALSE,Not Qualifying
080010085641,0.4,0.7,0.72,0.65,0.98,0.27,0.4,0.67,0,0.73,0.81,0.95,0,0.94,0.73,0.32,0.66,0.77,0.454,TRUE,Qualifying
080010085651,0.36,0.49,0.51,0.28,0.85,0.58,0.43,0.87,0,0,0,0,0,0,0.47,0.37,0.16,0.29,0.026,TRUE,Qualifying
080010085652,0,0.7,0.39,0.14,0.96,0.08,0.61,0.86,0,0,0,0,0,0,0.8,0.25,0.17,0.21,0.006,TRUE,Qualifying
080010085653,0.25,0.2,0.88,0.68,0.68,0.63,0,0.76,0.93,0.8,0,0,0.75,0.9,0.17,0.57,0.75,0.66,0.217,FALSE,Not Qualifying
080010085654,0.55,0,0.74,0.1,0.89,0.84,0.92,0.7,0.87,0,0,0,0,0,0.62,0.24,0.49,0.61,0.204,TRUE,Qualifying
080010085655,0.69,0.45,0.99,0.05,0.93,0.68,0.74,0.99,0.98,0,0.99,1,0.78,0,0.72,0.12,0.82,0.97,0.956,TRUE,Qualifying
080010086031,0.95,0.42,0.93,0.37,0.83,0.65,0.98,0.91,0.92,0.83,0.68,0.79,0.81,0,0.01,0.17,0.92,0.92,0.946,TRUE,Qualifying
080010086041,0.19,0.4,0.87,0.03,0.12,0.1,0.53,0.81,0.88,0.75,0,0,0,0.99,0.91,0.27,0.47,0.6,0.099,TRUE,Qualifying
080010086051,0.73,0.79,0.75,0.51,0.88,0.66,0.51,0.73,0.59,0.82,0,0.89,0.88,0,0.46,0.26,0.8,0.86,0.684,FALSE,Qualifying
080010086063,0.67,0.85,0.72,0.24,0.98,0.65,0.96,0.59,0.69,0.89,0,0.97,0.72,0,0.44,0.33,0.83,0.86,0.579,TRUE,Qualifying
080010086064,0.46,0.78,0.87,0.53,0.28,0.8,0,0.76,0.83,0.87,0,0.91,0,0,0.48,0.21,0.56,0.68,0.361,TRUE,Qualifying
080010087061,0.7,0.63,0.93,0.32,0.75,0.58,0.97,0.95,0.85,0,0.69,0.73,0,0.8,0.23,0.2,0.94,0.91,0.889,TRUE,Qualifying
080010087062,0.87,0.38,0.97,0.11,0.98,0.74,0.24,0.97,0.99,0.71,0,0.99,0,0.89,0.09,0.05,0.88,0.78,0.804,TRUE,Qualifying
080010087063,0.61,0.82,0.96,0.77,0.26,0.93,0,0.94,0.95,0.72,0,0.87,0.47,0,0.44,0.03,0.68,0.82,0.699,TRUE,Qualifying
080010087093,0.97,0.82,0.97,0.4,0.99,0.66,0.97,0.98,0.66,0.89,0,0.9,0.94,0,0.64,0.37,0.9,0.99,0,TRUE,Qualifying
080010087095,0.35,0,0.99,0.46,0.85,0.49,0.53,0.94,0.97,0.78,0.69,0.89,0.89,0,0.37,0.04,0.79,0.76,0.515,TRUE,Qualifying
080010087096,1,0,0.98,0,0,0.99,0.93,0.69,0,0.81,0.71,0.91,0.87,0.99,0.01,0.26,0.9,0.73,0,TRUE,Qualifying
080010088011,0.98,0.27,0.93,0.35,0.99,0.54,0,0.95,0.94,0,0.77,0,0,0,0.47,0.15,0.78,0.91,0,TRUE,Qualifying
080010088012,0.94,0.59,0.99,0.29,0.92,0.29,0.93,0.95,0.94,0,0.69,0.84,0.51,0,0.19,0,0.69,0.89,0.808,TRUE,Qualifying
080010088021,0.88,0.9,0.99,0.1,0.98,0.63,0.49,0.97,0.91,0,0.99,0.98,0.6,0,0.11,0,0.86,0.94,0.927,TRUE,Qualifying
080010088022,0.39,0.47,0.92,0.07,0.73,0.89,0.63,0.98,0.97,0,0,0.9,0.81,0,0.63,0.15,0.64,0.82,0.766,TRUE,Qualifying
080010088023,0.97,0.82,0.98,0.07,0.82,0.91,0.64,0.96,0.96,0,0.97,0.92,0,0.98,0.89,0.02,0.72,0.98,0,TRUE,Qualifying
080010089011,0.38,0.48,1,0.11,0.59,0.7,0.83,0.97,0.97,0,0,0.87,0.51,0.89,0.83,0.51,0.44,0.89,0.696,TRUE,Qualifying
080010090041,0.3,0,0.84,0.15,0.71,0.19,0,0.99,0,0.97,0,0.98,0,0,0.96,0.92,0.75,0.82,0.657,TRUE,Qualifying
080010090042,0.77,0.26,0.89,0.05,0.68,0.11,0.79,0.98,0.96,0.85,0,0,0.9,0,0.4,0.12,0.64,0.78,0.655,TRUE,Qualifying
080010090043,0.77,0.35,0.87,0.08,0.96,0.48,0.9,0.86,0,0,0,0,0,0,0.41,0.16,0.67,0.67,0.479,TRUE,Qualifying
080010091011,0.15,0.27,0.86,0.53,0.74,0.69,0.62,0.81,0.87,0,0,0,0.49,0,0.41,0.06,0.28,0.33,0.008,TRUE,Qualifying
080010091031,0.77,0.49,0.93,0.1,0.95,0.72,0.71,0.91,0.71,0.6,0.99,0.98,0.86,0,0.31,0.04,0.77,0.89,0.844,TRUE,Qualifying
080010091032,0.82,0.67,0.98,0.02,0.99,0.1,0.81,0.99,0.97,0,1,1,0,0,0.61,0.01,0.82,0.96,0.972,TRUE,Qualifying
080010091041,0.79,0.49,0.97,0.37,0.56,0.6,0.75,0.95,0.97,0,0.97,0.97,0.7,0,0.16,0,0.61,0.85,0.742,TRUE,Qualifying
